# Efinity GPIO Pin Assignment
# Version: 2022.2.322.4.7
# Date: 2023-05-06 12:17
#
# Copyright (C) 2017 - 2022 Efinix Inc. All rights reserved.
#
# Device: T20F256
# Package: 256-ball FBGA (final)
# Project: WES207_basic
# Configuration mode: active (x1)
# Timing Model: I4 (final)
Package Pin-Pad Name,Instance Name,Mode
M13-GPIOB_CLKN0,,
M12-GPIOB_CLKP0,,
R9-GPIOB_RXN00,,
M9-GPIOB_RXN01,,
T10-GPIOB_RXN02,,
N10-GPIOB_RXN03,,
R11-GPIOB_RXN04,,
M11-GPIOB_RXN05,,
P11-GPIOB_RXN06,,
R12-GPIOB_RXN07,,
P13-GPIOB_RXN08,,
R14-GPIOB_RXN09,,
N12-GPIOB_RXN10,,
R15-GPIOB_RXN11,,
N13-GPIOB_RXN12_EXTFB0,,
P9-GPIOB_RXP00,,
N9-GPIOB_RXP01,,
T9-GPIOB_RXP02,,
P10-GPIOB_RXP03,,
T11-GPIOB_RXP04,,
M10-GPIOB_RXP05,,
N11-GPIOB_RXP06,,
T12-GPIOB_RXP07,,
R13-GPIOB_RXP08,,
T14-GPIOB_RXP09,,
P12-GPIOB_RXP10,,
T15-GPIOB_RXP11,,
P14-GPIOB_RXP12_EXTFB0,,
M5-GPIOB_TXN00,,
P4-GPIOB_TXN01,,
R4-GPIOB_TXN02,,
T3-GPIOB_TXN03,,
P5-GPIOB_TXN04,,
M7-GPIOB_TXN05,,
P6-GPIOB_TXN06,,
T5-GPIOB_TXN07,,
T6-GPIOB_TXN08,,
P7-GPIOB_TXN09,,
T7-GPIOB_TXN10,,
N8-GPIOB_TXN11,,
P8-GPIOB_TXN12,,
M4-GPIOB_TXP00,,
N4-GPIOB_TXP01,,
R3-GPIOB_TXP02,,
T2-GPIOB_TXP03,,
N5-GPIOB_TXP04,,
M6-GPIOB_TXP05,,
N6-GPIOB_TXP06,,
R5-GPIOB_TXP07,,
R6-GPIOB_TXP08,,
N7-GPIOB_TXP09,,
T8-GPIOB_TXP10,,
M8-GPIOB_TXP11,,
R8-GPIOB_TXP12,,
P3-GPIOL_00_SS_N,,
M3-GPIOL_01_CCK,,
P2-GPIOL_02,reset_n,input
N3-GPIOL_04_CSI,,
L4-GPIOL_05_CSO,,
L3-GPIOL_08_CDI0,,
N1-GPIOL_09_CDI1,,
J5-GPIOL_11,,
K4-GPIOL_12_CDI2,,
L2-GPIOL_13_CDI3,,
J4-GPIOL_14,,
K3-GPIOL_15,,
J3-GPIOL_16,,
K1-GPIOL_18,,
K2-GPIOL_19,,
J2-GPIOL_20_CTRL0_CDI4,,
H5-GPIOL_21_CTRL1_CDI5,,
H1-GPIOL_22_CTRL2,,
L1-GPIOL_23_CTRL3,,
H3-GPIOL_24_CLK0,,
H2-GPIOL_25_CLK1,,
H4-GPIOL_26_CLK2,,
G3-GPIOL_27_CLK3,,
G5-GPIOL_28_CLK4,,
G2-GPIOL_29_CLK5,,
F1-GPIOL_30_CLK6,,
G1-GPIOL_31_CLK7_CDI6,,
F2-GPIOL_32_CTRL4_CDI7,,
C1-GPIOL_33_CTRL5,,
E2-GPIOL_34_CTRL6,,
F3-GPIOL_35_CTRL7,,
D1-GPIOL_36,,
E1-GPIOL_37,,
E3-GPIOL_39,,
F5-GPIOL_40_CDI8,,
C2-GPIOL_41_CDI9,,
G4-GPIOL_42,,
F4-GPIOL_43,,
B1-GPIOL_44,,
B2-GPIOL_45,,
D3-GPIOL_46,,
D4-GPIOL_47,,
C3-GPIOL_48,,
D5-GPIOL_49,,
A2-GPIOL_50,,
C4-GPIOL_51,,
B3-GPIOL_52,,
B4-GPIOL_53_CDI10,,
D6-GPIOL_54_CDI11,,
E4-GPIOL_55,,
E6-GPIOL_56,,
A3-GPIOL_57,,
C6-GPIOL_58,,
A4-GPIOL_59,,
E5-GPIOL_60,,
B5-GPIOL_61,,
A7-GPIOL_62,,
B7-GPIOL_63,,
B6-GPIOL_64,,
A6-GPIOL_65,,
A8-GPIOL_66_CDI12,,
C5-GPIOL_67_CDI13,,
E7-GPIOL_68,,
D7-GPIOL_69_CBSEL1,,
C7-GPIOL_70_CBSEL0,,
B8-GPIOL_71_NSTATUS,,
C8-GPIOL_72_EXTFB0_CDI14,,
D8-GPIOL_73_EXTFB1_CDI15,,
D9-GPIOL_74_PLLIN0,,
E8-GPIOL_75_PLLIN1,,
C9-GPIOR_76_PLLIN0,,
D10-GPIOR_77_PLLIN1,,
A9-GPIOR_78_EXTFB0_CDI31,,
A10-GPIOR_79_EXTFB1_CDI30,,
B9-GPIOR_80,,
C10-GPIOR_81_MREFCLK,,
B10-GPIOR_82,,
B11-GPIOR_83,,
A11-GPIOR_84,,
C12-GPIOR_85,,
C11-GPIOR_86,,
D11-GPIOR_87_CDI29,,
E11-GPIOR_88_CDI28,,
D12-GPIOR_89,,
A14-GPIOR_90,,
E12-GPIOR_91,,
B14-GPIOR_92,,
B12-GPIOR_93,,
A15-GPIOR_94_CDI27,,
A13-GPIOR_95_CDI26,,
B13-GPIOR_97,,
B15-GPIOR_98,,
C13-GPIOR_99,,
C14-GPIOR_102,,
D13-GPIOR_103,,
D14-GPIOR_104_CDI25,led0,output
E13-GPIOR_105_CDI24,led1,output
B16-GPIOR_106,,
C16-GPIOR_108,,
E14-GPIOR_110,,
F12-GPIOR_111,gpo_pins[0],output
C15-GPIOR_112_CDI23,,
F13-GPIOR_113_CDI22,,
D16-GPIOR_116_CTRL15,,
G13-GPIOR_117_CTRL14,gpo_pins[1],output
F14-GPIOR_118_CTRL13,,
E16-GPIOR_119_CTRL12,,
E15-GPIOR_120_CLK15,gpo_pins[2],output
G12-GPIOR_121_CLK14,,
F15-GPIOR_122_CLK13_CDI21,gpo_pins[3],output
F16-GPIOR_123_CLK12_CDI20,,
G15-GPIOR_124_CLK11,gpo_pins[4],output
H13-GPIOR_125_CLK10,INPUT_CLK,input
G16-GPIOR_126_CLK9,,
G14-GPIOR_127_CLK8,gpo_pins[5],output
H14-GPIOR_128_CTRL11,,
H15-GPIOR_129_CTRL10,,
H16-GPIOR_130_CTRL9,,
J15-GPIOR_131_CTRL8,,
K16-GPIOR_132_CDI19,,
J13-GPIOR_133_CDI18,,
J14-GPIOR_135_CDI17,,
K15-GPIOR_136_CDI16,,
K14-GPIOR_138,,
H12-GPIOR_139,,
J12-GPIOR_141,,
L16-GPIOR_143,,
M15-GPIOR_144,,
M16-GPIOR_145,,
P16-GPIOR_146,,
L15-GPIOR_147,,
K12-GPIOR_148,,
R16-GPIOR_149_CBUS2,,
L14-GPIOR_150_CBUS1,gpo_pins[6],output
K13-GPIOR_151_CBUS0,,
N14-GPIOR_153,,
N16-GPIOR_154,SSB,input
P15-GPIOR_155,MISO,output
M14-GPIOR_156,SCLK,input
L13-GPIOR_157_PLLIN,,
L12-GPIOR_158_TEST_N,MOSI,input
